=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.19 13:28:36 =~=~=~=~=~=~=~=~=~=~=~=
Tiempo,Estado,Potencia,Termocupla
3130,0,100,719
3140,0,100,720
3150,0,100,720
3160,0,100,721
3170,0,100,721
3180,0,100,722
3190,0,100,723
3200,0,100,724
3210,0,100,725
3220,0,100,726
3230,0,100,726
3240,0,100,727
3250,0,100,728
3260,0,100,729
3270,0,100,729
3280,0,100,730
3290,0,100,730
3300,0,100,731
3310,0,100,732
3320,0,100,732
3330,0,100,733
3340,0,100,734
3350,0,100,734
3360,0,100,735
3370,0,100,736
3380,0,100,736
3390,0,100,737
3400,0,100,738
3410,0,100,738
3420,0,100,739
3430,0,100,740
3440,0,100,741
3450,0,100,741
3460,0,100,742
3470,0,100,742
3480,0,100,743
3490,0,100,744
3500,0,100,744
3510,0,100,745
3520,0,100,746
3530,0,100,747
3540,0,100,748
3550,0,100,749
3560,0,100,749
3570,0,100,750
3580,0,100,750
3590,0,100,751
3600,0,100,752
3610,0,100,753
3620,0,100,754
3630,0,100,754
3640,0,100,755
3650,0,100,755
3660,0,100,756
3670,0,100,757
3680,0,100,757
3690,0,100,757
3700,0,100,758
3710,0,100,759
3720,0,100,760
3730,0,100,761
3740,0,100,762
3750,0,100,763
3760,0,100,765
3770,0,100,766
3780,0,100,767
3790,0,100,767
3800,0,100,768
3810,0,100,768
3820,0,100,769
3830,0,100,769
3840,0,100,771
3850,0,100,771
3860,0,100,772
3870,0,100,773
3880,0,100,773
3890,0,100,774
3900,0,100,774
3910,0,100,775
3920,0,100,776
3930,0,100,777
3940,0,100,778
3950,0,100,778
3960,0,100,779
3970,0,100,779
3980,0,100,780
3990,0,100,780
4000,0,100,781
4010,0,100,782
4020,0,100,783
4030,0,100,784
4040,0,100,784
4050,0,100,785
4060,0,100,786
4070,0,100,787
4080,0,100,788
4090,0,100,788
4100,0,100,789
4110,0,100,789
4120,0,100,790
4130,0,100,791
4140,0,100,792
4150,0,100,793
4160,0,100,793
4170,0,100,793
4180,0,100,794
4190,0,100,794
4200,0,100,794
4210,0,100,795
4220,0,100,795
4230,0,100,795
4240,0,100,796
4250,0,100,797
4260,0,100,798
4270,0,100,798
4280,0,100,799
4290,0,100,799
4300,0,100,800
4310,0,100,801
4320,0,100,801
4330,0,100,802
4340,0,100,802
4350,0,100,803
4360,0,100,804
4370,0,100,804
4380,0,100,805
4390,0,100,806
4400,0,100,807
4410,0,100,808
4420,0,100,809
4430,0,100,810
4440,0,100,810
4450,0,100,811
4460,0,100,812
4470,0,100,812
4480,0,100,813
4490,0,100,814
4500,0,100,815
4510,0,100,815
4520,0,100,815
4530,0,100,816
4540,0,100,816
4550,0,100,816
4560,0,100,817
4570,0,100,817
4580,0,100,817
4590,0,100,818
4600,0,100,818
4610,0,100,819
4620,0,100,820
4630,0,100,820
4640,0,100,821
4650,0,100,821
4660,0,100,822
4670,0,100,822
4680,0,100,823
4690,0,100,823
4700,0,100,824
4710,0,100,825
4720,0,100,825
4730,0,100,826
4740,0,100,826
4750,0,100,827
4760,0,100,827
4770,0,100,828
4780,0,100,828
4790,0,100,829
4800,0,100,829
4810,0,100,830
4820,0,100,830
4830,0,100,831
4840,0,100,831
4850,0,100,832
4860,0,100,832
4870,0,100,833
4880,0,100,833
4890,0,100,834
4900,0,100,834
4910,0,100,835
4920,0,100,835
4930,0,100,836
4940,0,100,836
4950,0,100,836
4960,0,100,836
4970,0,100,837
4980,0,100,837
4990,0,100,837
5000,0,100,837
5010,0,100,837
5020,0,100,838
5030,0,100,838
5040,0,100,839
5050,0,100,839
5060,0,100,839
5070,0,100,840
5080,0,100,840
5090,0,100,841
5100,0,100,841
5110,0,100,841
5120,0,100,842
5130,0,100,842
5140,0,100,843
5150,0,100,843
5160,0,100,844
5170,0,100,844
5180,0,100,845
5190,0,100,845
5200,0,100,846
5210,0,100,846
5220,0,100,847
5230,0,100,847
5240,0,100,848
5250,0,100,848
5260,0,100,849
5270,0,100,849
5280,0,100,850
5290,0,100,850
5300,0,100,850
5310,0,100,851
5320,0,100,852
5330,0,100,852
5340,0,100,853
5350,0,100,853
5360,0,100,853
5370,0,100,854
5380,0,100,854
5390,0,100,854
5400,0,100,855
5410,0,100,855
5420,0,100,855
5430,0,100,856
5440,0,100,856
5450,0,100,857
5460,0,100,857
5470,0,100,858
5480,0,100,858
5490,0,100,859
5500,0,100,859
5510,0,100,860
5520,0,100,861
5530,0,100,861
5540,0,100,862
5550,0,100,862
5560,0,100,863
5570,0,100,863
5580,0,100,864
5590,0,100,864
5600,0,100,865
5610,0,100,865
5620,0,100,866
5630,0,100,867
5640,0,100,867
5650,0,100,868
5660,0,100,868
5670,0,100,869
5680,0,100,869
5690,0,100,869
5700,0,100,870
5710,0,100,870
5720,0,100,871
5730,0,100,872
5740,0,100,872
5750,0,100,873
5760,0,100,873
5770,0,100,874
5780,0,100,874
5790,0,100,874
5800,0,100,875
5810,0,100,875
5820,0,100,876
5830,0,100,876
5840,0,100,877
5850,0,100,878
5860,0,100,878
5870,0,100,879
5880,0,100,879
5890,0,100,880
5900,0,100,880
5910,0,100,880
5920,0,100,881
5930,0,100,881
5940,0,100,882
5950,0,100,882
5960,0,100,883
5970,0,100,883
5980,0,100,884
5990,0,100,884
6000,0,100,884
6010,0,100,885
6020,0,100,885
6030,0,100,886
6040,0,100,886
6050,0,100,887
6060,0,100,887
6070,0,100,888
6080,0,100,888
6090,0,100,889
6100,0,100,889
6110,0,100,889
6120,0,100,890
6130,0,100,890
6140,0,100,890
6150,0,100,891
6160,0,100,891
6170,0,100,891
6180,0,100,892
6190,0,100,892
6200,0,100,892
6210,0,100,892
6220,0,100,893
6230,0,100,893
6240,0,100,893
6250,0,100,894
6260,0,100,894
6270,0,100,895
6280,0,100,895
6290,0,100,895
6300,0,100,896
6310,0,100,896
6320,0,100,897
6330,0,100,897
6340,0,100,897
6350,0,100,898
6360,0,100,899
6370,0,100,899
6380,0,100,900
6390,0,100,900
6400,0,100,900
6410,0,100,901
6420,0,100,901
6430,0,100,902
6440,0,100,902
6450,0,100,903
6460,0,100,903
6470,0,100,903
6480,0,100,904
6490,0,100,904
6500,0,100,905
6510,0,100,905
6520,0,100,906
6530,0,100,906
6540,0,100,907
6550,0,100,907
6560,0,100,907
6570,0,100,908
6580,0,100,908
6590,0,100,909
6600,0,100,909
6610,0,100,910
6620,0,100,910
6630,0,100,911
6640,0,100,911
6650,0,100,911
6660,0,100,912
6670,0,100,912
6680,0,100,913
6690,0,100,913
6700,0,100,914
6710,0,100,914
6720,0,100,914
6730,0,100,915
6740,0,100,916
6750,0,100,916
6760,0,100,916
6770,0,100,917
6780,0,100,917
6790,0,100,917
6800,0,100,918
6810,0,100,918
6820,0,100,918
6830,0,100,919
6840,0,100,919
6850,0,100,919
6860,0,100,920
6870,0,100,920
